kecamatan_key,kecamatan_norm,tahun_proyeksi,demand_sd,demand_smp,demand_total
GENTENG,GENTENG,2030,4599,2518,7117
SAWAHAN,SAWAHAN,2030,15984,8796,24780
SUKOMANUNGGAL,SUKOMANUNGGAL,2030,8884,4871,13755
ASEMROWO,ASEMROWO,2030,5134,2565,7699
WONOKROMO,WONOKROMO,2030,12014,6602,18616
PABEANCANTIAN,PABEAN CANTIAN,2030,6659,3480,10139
RUNGKUT,RUNGKUT,2030,10512,5871,16383
PAKAL,PAKAL,2030,5799,3072,8871
SEMAMPIR,SEMAMPIR,2030,18492,9682,28174
TENGGILISMEJOYO,TENGGILIS MEJOYO,2030,4931,2658,7589
TEGALSARI,TEGALSARI,2030,7851,4434,12285
GAYUNGAN,GAYUNGAN,2030,3554,1985,5539
BUBUTAN,BUBUTAN,2030,8221,4387,12608
GUBENG,GUBENG,2030,10135,5615,15750
LAKARSANTRI,LAKARSANTRI,2030,5659,3000,8659
TAMBAKSARI,TAMBAKSARI,2030,18572,10283,28855
JAMBANGAN,JAMBANGAN,2030,4760,2616,7376
SUKOLILO,SUKOLILO,2030,9974,5375,15349
SAMBIKEREP,SAMBIKEREP,2030,5903,3197,9100
DUKUHPAKIS,DUKUH PAKIS,2030,4764,2707,7471
KREMBANGAN,KREMBANGAN,2030,10268,5598,15866
WONOCOLO,WONOCOLO,2030,6760,3702,10462
GUNUNGANYAR,GUNUNG ANYAR,2030,5432,2958,8390
KENJERAN,KENJERAN,2030,19077,9569,28646
WIYUNG,WIYUNG,2030,6280,3397,9677
BENOWO,BENOWO,2030,6730,3701,10431
BULAK,BULAK,2030,4478,2334,6812
SIMOKERTO,SIMOKERTO,2030,8159,4380,12539
MULYOREJO,MULYOREJO,2030,6984,3883,10867
TANDES,TANDES,2030,7658,4409,12067
KARANGPILANG,KARANGPILANG,2030,6395,3522,9917
GENTENG,GENTENG,2025,5239,2781,8020
SAWAHAN,SAWAHAN,2025,18196,9664,27860
SUKOMANUNGGAL,SUKOMANUNGGAL,2025,9913,4956,14869
ASEMROWO,ASEMROWO,2025,5083,2470,7553
WONOKROMO,WONOKROMO,2025,13485,7229,20714
PABEANCANTIAN,PABEAN CANTIAN,2025,7024,3654,10678
RUNGKUT,RUNGKUT,2025,11811,5912,17723
PAKAL,PAKAL,2025,6277,3176,9453
SEMAMPIR,SEMAMPIR,2025,19394,9743,29137
TENGGILISMEJOYO,TENGGILIS MEJOYO,2025,5434,2836,8270
TEGALSARI,TEGALSARI,2025,8964,4668,13632
GAYUNGAN,GAYUNGAN,2025,4079,2060,6139
BUBUTAN,BUBUTAN,2025,8978,4659,13637
GUBENG,GUBENG,2025,11414,5952,17366
LAKARSANTRI,LAKARSANTRI,2025,6188,3177,9365
TAMBAKSARI,TAMBAKSARI,2025,20889,10989,31878
JAMBANGAN,JAMBANGAN,2025,5289,2763,8052
SUKOLILO,SUKOLILO,2025,10990,5507,16497
SAMBIKEREP,SAMBIKEREP,2025,6451,3380,9831
DUKUHPAKIS,DUKUH PAKIS,2025,5572,2784,8356
KREMBANGAN,KREMBANGAN,2025,11038,5725,16763
WONOCOLO,WONOCOLO,2025,7446,3838,11284
GUNUNGANYAR,GUNUNG ANYAR,2025,5993,3019,9012
KENJERAN,KENJERAN,2025,19517,9692,29209
WIYUNG,WIYUNG,2025,6929,3591,10520
BENOWO,BENOWO,2025,7372,3882,11254
BULAK,BULAK,2025,4768,2484,7252
SIMOKERTO,SIMOKERTO,2025,8867,4521,13388
MULYOREJO,MULYOREJO,2025,7843,4010,11853
TANDES,TANDES,2025,8881,4674,13555
KARANGPILANG,KARANGPILANG,2025,6916,3546,10462
GENTENG,GENTENG,2029,4777,2630,7407
SAWAHAN,SAWAHAN,2029,16461,9228,25689
SUKOMANUNGGAL,SUKOMANUNGGAL,2029,9213,4973,14186
ASEMROWO,ASEMROWO,2029,5193,2541,7734
WONOKROMO,WONOKROMO,2029,12433,6752,19185
PABEANCANTIAN,PABEAN CANTIAN,2029,6822,3503,10325
RUNGKUT,RUNGKUT,2029,10965,5949,16914
PAKAL,PAKAL,2029,5950,3125,9075
SEMAMPIR,SEMAMPIR,2029,18915,9737,28652
TENGGILISMEJOYO,TENGGILIS MEJOYO,2029,5093,2729,7822
TEGALSARI,TEGALSARI,2029,8197,4517,12714
GAYUNGAN,GAYUNGAN,2029,3643,2063,5706
BUBUTAN,BUBUTAN,2029,8384,4552,12936
GUBENG,GUBENG,2029,10483,5869,16352
LAKARSANTRI,LAKARSANTRI,2029,5884,3050,8934
TAMBAKSARI,TAMBAKSARI,2029,19219,10530,29749
JAMBANGAN,JAMBANGAN,2029,4879,2709,7588
SUKOLILO,SUKOLILO,2029,10288,5408,15696
SAMBIKEREP,SAMBIKEREP,2029,6072,3242,9314
DUKUHPAKIS,DUKUH PAKIS,2029,5028,2777,7805
KREMBANGAN,KREMBANGAN,2029,10587,5660,16247
WONOCOLO,WONOCOLO,2029,7018,3707,10725
GUNUNGANYAR,GUNUNG ANYAR,2029,5634,2993,8627
KENJERAN,KENJERAN,2029,19460,9628,29088
WIYUNG,WIYUNG,2029,6443,3452,9895
BENOWO,BENOWO,2029,6863,3739,10602
BULAK,BULAK,2029,4590,2397,6987
SIMOKERTO,SIMOKERTO,2029,8321,4496,12817
MULYOREJO,MULYOREJO,2029,7193,3936,11129
TANDES,TANDES,2029,8026,4475,12501
KARANGPILANG,KARANGPILANG,2029,6592,3534,10126
GENTENG,GENTENG,2028,4918,2750,7668
SAWAHAN,SAWAHAN,2028,16761,9668,26429
SUKOMANUNGGAL,SUKOMANUNGGAL,2028,9403,5198,14601
ASEMROWO,ASEMROWO,2028,5177,2541,7718
WONOKROMO,WONOKROMO,2028,12717,7011,19728
PABEANCANTIAN,PABEAN CANTIAN,2028,7000,3551,10551
RUNGKUT,RUNGKUT,2028,11220,6093,17313
PAKAL,PAKAL,2028,6076,3195,9271
SEMAMPIR,SEMAMPIR,2028,19036,9950,28986
TENGGILISMEJOYO,TENGGILIS MEJOYO,2028,5292,2717,8009
TEGALSARI,TEGALSARI,2028,8403,4646,13049
GAYUNGAN,GAYUNGAN,2028,3770,2147,5917
BUBUTAN,BUBUTAN,2028,8580,4679,13259
GUBENG,GUBENG,2028,10748,5990,16738
LAKARSANTRI,LAKARSANTRI,2028,5961,3231,9192
TAMBAKSARI,TAMBAKSARI,2028,19675,10920,30595
JAMBANGAN,JAMBANGAN,2028,4995,2747,7742
SUKOLILO,SUKOLILO,2028,10459,5639,16098
SAMBIKEREP,SAMBIKEREP,2028,6176,3399,9575
DUKUHPAKIS,DUKUH PAKIS,2028,5191,2897,8088
KREMBANGAN,KREMBANGAN,2028,10788,5667,16455
WONOCOLO,WONOCOLO,2028,7220,3835,11055
GUNUNGANYAR,GUNUNG ANYAR,2028,5791,3046,8837
KENJERAN,KENJERAN,2028,19477,9814,29291
WIYUNG,WIYUNG,2028,6565,3604,10169
BENOWO,BENOWO,2028,7000,3821,10821
BULAK,BULAK,2028,4683,2444,7127
SIMOKERTO,SIMOKERTO,2028,8513,4591,13104
MULYOREJO,MULYOREJO,2028,7445,4092,11537
TANDES,TANDES,2028,8235,4590,12825
KARANGPILANG,KARANGPILANG,2028,6724,3566,10290
GENTENG,GENTENG,2026,5078,2802,7880
SAWAHAN,SAWAHAN,2026,17658,9719,27377
SUKOMANUNGGAL,SUKOMANUNGGAL,2026,9733,5129,14862
ASEMROWO,ASEMROWO,2026,5097,2509,7606
WONOKROMO,WONOKROMO,2026,13151,7245,20396
PABEANCANTIAN,PABEAN CANTIAN,2026,6977,3673,10650
RUNGKUT,RUNGKUT,2026,11614,6021,17635
PAKAL,PAKAL,2026,6201,3208,9409
SEMAMPIR,SEMAMPIR,2026,19291,9836,29127
TENGGILISMEJOYO,TENGGILIS MEJOYO,2026,5417,2808,8225
TEGALSARI,TEGALSARI,2026,8800,4683,13483
GAYUNGAN,GAYUNGAN,2026,3976,2113,6089
BUBUTAN,BUBUTAN,2026,8854,4720,13574
GUBENG,GUBENG,2026,11170,5867,17037
LAKARSANTRI,LAKARSANTRI,2026,6062,3263,9325
TAMBAKSARI,TAMBAKSARI,2026,20517,11086,31603
JAMBANGAN,JAMBANGAN,2026,5159,2797,7956
SUKOLILO,SUKOLILO,2026,10880,5599,16479
SAMBIKEREP,SAMBIKEREP,2026,6304,3500,9804
DUKUHPAKIS,DUKUH PAKIS,2026,5417,2871,8288
KREMBANGAN,KREMBANGAN,2026,10917,5751,16668
WONOCOLO,WONOCOLO,2026,7315,3906,11221
GUNUNGANYAR,GUNUNG ANYAR,2026,5893,3089,8982
KENJERAN,KENJERAN,2026,19433,9812,29245
WIYUNG,WIYUNG,2026,6760,3706,10466
BENOWO,BENOWO,2026,7232,3906,11138
BULAK,BULAK,2026,4668,2503,7171
SIMOKERTO,SIMOKERTO,2026,8670,4588,13258
MULYOREJO,MULYOREJO,2026,7675,4150,11825
TANDES,TANDES,2026,8646,4743,13389
KARANGPILANG,KARANGPILANG,2026,6846,3543,10389
GENTENG,GENTENG,2027,4971,2854,7825
SAWAHAN,SAWAHAN,2027,17165,9788,26953
SUKOMANUNGGAL,SUKOMANUNGGAL,2027,9611,5225,14836
ASEMROWO,ASEMROWO,2027,5175,2498,7673
WONOKROMO,WONOKROMO,2027,12915,7162,20077
PABEANCANTIAN,PABEAN CANTIAN,2027,6919,3612,10531
RUNGKUT,RUNGKUT,2027,11471,6080,17551
PAKAL,PAKAL,2027,6132,3231,9363
SEMAMPIR,SEMAMPIR,2027,19210,9904,29114
