kecamatan_key,kecamatan_norm,tahun_proyeksi,demand_total,kapasitas,gap,siswa_tak_tertampung,utilisasi_pct
RUNGKUT,RUNGKUT,2025,17723,14045,3678,3678,126.2
TAMBAKSARI,TAMBAKSARI,2025,31878,19780,12098,12098,161.2
GUBENG,GUBENG,2025,17366,15634,1732,1732,111.1
WONOCOLO,WONOCOLO,2025,11284,10289,995,995,109.7
BUBUTAN,BUBUTAN,2025,13637,9302,4335,4335,146.6
WONOKROMO,WONOKROMO,2025,20714,16456,4258,4258,125.9
GAYUNGAN,GAYUNGAN,2025,6139,6415,-276,0,95.7
MULYOREJO,MULYOREJO,2025,11853,14034,-2181,0,84.5
JAMBANGAN,JAMBANGAN,2025,8052,7943,109,109,101.4
KARANGPILANG,KARANGPILANG,2025,10462,8038,2424,2424,130.2
SUKOMANUNGGAL,SUKOMANUNGGAL,2025,14869,14210,659,659,104.6
TANDES,TANDES,2025,13555,12901,654,654,105.1
TENGGILISMEJOYO,TENGGILIS MEJOYO,2025,8270,6664,1606,1606,124.1
KENJERAN,KENJERAN,2025,29209,24679,4530,4530,118.4
PABEANCANTIAN,PABEAN CANTIAN,2025,10678,4994,5684,5684,213.8
LAKARSANTRI,LAKARSANTRI,2025,9365,13008,-3643,0,72.0
TEGALSARI,TEGALSARI,2025,13632,9943,3689,3689,137.1
BULAK,BULAK,2025,7252,7741,-489,0,93.7
WIYUNG,WIYUNG,2025,10520,7666,2854,2854,137.2
GENTENG,GENTENG,2025,8020,9698,-1678,0,82.7
SIMOKERTO,SIMOKERTO,2025,13388,8830,4558,4558,151.6
SAWAHAN,SAWAHAN,2025,27860,16672,11188,11188,167.1
KREMBANGAN,KREMBANGAN,2025,16763,17160,-397,0,97.7
PAKAL,PAKAL,2025,9453,9797,-344,0,96.5
GUNUNGANYAR,GUNUNG ANYAR,2025,9012,6245,2767,2767,144.3
SEMAMPIR,SEMAMPIR,2025,29137,21525,7612,7612,135.4
SAMBIKEREP,SAMBIKEREP,2025,9831,10510,-679,0,93.5
ASEMROWO,ASEMROWO,2025,7553,5333,2220,2220,141.6
SUKOLILO,SUKOLILO,2025,16497,17153,-656,0,96.2
DUKUHPAKIS,DUKUH PAKIS,2025,8356,8595,-239,0,97.2
BENOWO,BENOWO,2025,11254,9028,2226,2226,124.7
RUNGKUT,RUNGKUT,2026,17635,14045,3590,3590,125.6
TAMBAKSARI,TAMBAKSARI,2026,31603,19780,11823,11823,159.8
GUBENG,GUBENG,2026,17037,15634,1403,1403,109.0
WONOCOLO,WONOCOLO,2026,11221,10289,932,932,109.1
BUBUTAN,BUBUTAN,2026,13574,9302,4272,4272,145.9
WONOKROMO,WONOKROMO,2026,20396,16456,3940,3940,123.9
GAYUNGAN,GAYUNGAN,2026,6089,6415,-326,0,94.9
MULYOREJO,MULYOREJO,2026,11825,14034,-2209,0,84.3
JAMBANGAN,JAMBANGAN,2026,7956,7943,13,13,100.2
KARANGPILANG,KARANGPILANG,2026,10389,8038,2351,2351,129.2
SUKOMANUNGGAL,SUKOMANUNGGAL,2026,14862,14210,652,652,104.6
TANDES,TANDES,2026,13389,12901,488,488,103.8
TENGGILISMEJOYO,TENGGILIS MEJOYO,2026,8225,6664,1561,1561,123.4
KENJERAN,KENJERAN,2026,29245,24679,4566,4566,118.5
PABEANCANTIAN,PABEAN CANTIAN,2026,10650,4994,5656,5656,213.3
LAKARSANTRI,LAKARSANTRI,2026,9325,13008,-3683,0,71.7
TEGALSARI,TEGALSARI,2026,13483,9943,3540,3540,135.6
BULAK,BULAK,2026,7171,7741,-570,0,92.6
WIYUNG,WIYUNG,2026,10466,7666,2800,2800,136.5
GENTENG,GENTENG,2026,7880,9698,-1818,0,81.3
SIMOKERTO,SIMOKERTO,2026,13258,8830,4428,4428,150.1
SAWAHAN,SAWAHAN,2026,27377,16672,10705,10705,164.2
KREMBANGAN,KREMBANGAN,2026,16668,17160,-492,0,97.1
PAKAL,PAKAL,2026,9409,9797,-388,0,96.0
GUNUNGANYAR,GUNUNG ANYAR,2026,8982,6245,2737,2737,143.8
SEMAMPIR,SEMAMPIR,2026,29127,21525,7602,7602,135.3
SAMBIKEREP,SAMBIKEREP,2026,9804,10510,-706,0,93.3
ASEMROWO,ASEMROWO,2026,7606,5333,2273,2273,142.6
SUKOLILO,SUKOLILO,2026,16479,17153,-674,0,96.1
DUKUHPAKIS,DUKUH PAKIS,2026,8288,8595,-307,0,96.4
BENOWO,BENOWO,2026,11138,9028,2110,2110,123.4
RUNGKUT,RUNGKUT,2027,17551,14045,3506,3506,125.0
TAMBAKSARI,TAMBAKSARI,2027,31159,19780,11379,11379,157.5
GUBENG,GUBENG,2027,16995,15634,1361,1361,108.7
WONOCOLO,WONOCOLO,2027,11127,10289,838,838,108.1
BUBUTAN,BUBUTAN,2027,13460,9302,4158,4158,144.7
WONOKROMO,WONOKROMO,2027,20077,16456,3621,3621,122.0
GAYUNGAN,GAYUNGAN,2027,5969,6415,-446,0,93.0
MULYOREJO,MULYOREJO,2027,11744,14034,-2290,0,83.7
JAMBANGAN,JAMBANGAN,2027,7953,7943,10,10,100.1
KARANGPILANG,KARANGPILANG,2027,10367,8038,2329,2329,129.0
SUKOMANUNGGAL,SUKOMANUNGGAL,2027,14836,14210,626,626,104.4
TANDES,TANDES,2027,13126,12901,225,225,101.7
TENGGILISMEJOYO,TENGGILIS MEJOYO,2027,8219,6664,1555,1555,123.3
KENJERAN,KENJERAN,2027,29451,24679,4772,4772,119.3
PABEANCANTIAN,PABEAN CANTIAN,2027,10531,4994,5537,5537,210.9
LAKARSANTRI,LAKARSANTRI,2027,9272,13008,-3736,0,71.3
TEGALSARI,TEGALSARI,2027,13259,9943,3316,3316,133.4
BULAK,BULAK,2027,7152,7741,-589,0,92.4
WIYUNG,WIYUNG,2027,10362,7666,2696,2696,135.2
GENTENG,GENTENG,2027,7825,9698,-1873,0,80.7
SIMOKERTO,SIMOKERTO,2027,13234,8830,4404,4404,149.9
SAWAHAN,SAWAHAN,2027,26953,16672,10281,10281,161.7
KREMBANGAN,KREMBANGAN,2027,16611,17160,-549,0,96.8
PAKAL,PAKAL,2027,9363,9797,-434,0,95.6
GUNUNGANYAR,GUNUNG ANYAR,2027,8967,6245,2722,2722,143.6
SEMAMPIR,SEMAMPIR,2027,29114,21525,7589,7589,135.3
SAMBIKEREP,SAMBIKEREP,2027,9713,10510,-797,0,92.4
ASEMROWO,ASEMROWO,2027,7673,5333,2340,2340,143.9
SUKOLILO,SUKOLILO,2027,16359,17153,-794,0,95.4
DUKUHPAKIS,DUKUH PAKIS,2027,8255,8595,-340,0,96.0
BENOWO,BENOWO,2027,11033,9028,2005,2005,122.2
RUNGKUT,RUNGKUT,2028,17313,14045,3268,3268,123.3
TAMBAKSARI,TAMBAKSARI,2028,30595,19780,10815,10815,154.7
GUBENG,GUBENG,2028,16738,15634,1104,1104,107.1
WONOCOLO,WONOCOLO,2028,11055,10289,766,766,107.4
BUBUTAN,BUBUTAN,2028,13259,9302,3957,3957,142.5
WONOKROMO,WONOKROMO,2028,19728,16456,3272,3272,119.9
GAYUNGAN,GAYUNGAN,2028,5917,6415,-498,0,92.2
MULYOREJO,MULYOREJO,2028,11537,14034,-2497,0,82.2
JAMBANGAN,JAMBANGAN,2028,7742,7943,-201,0,97.5
KARANGPILANG,KARANGPILANG,2028,10290,8038,2252,2252,128.0
SUKOMANUNGGAL,SUKOMANUNGGAL,2028,14601,14210,391,391,102.8
TANDES,TANDES,2028,12825,12901,-76,0,99.4
TENGGILISMEJOYO,TENGGILIS MEJOYO,2028,8009,6664,1345,1345,120.2
KENJERAN,KENJERAN,2028,29291,24679,4612,4612,118.7
PABEANCANTIAN,PABEAN CANTIAN,2028,10551,4994,5557,5557,211.3
LAKARSANTRI,LAKARSANTRI,2028,9192,13008,-3816,0,70.7
