kecamatan_key,kecamatan_norm,kapasitas,total_pagu,murid_aktual,total_ruang_kelas,jumlah_sekolah
GENTENG,GENTENG,9698,4933,9698,314,18
,,0,0,0,45,14
SAWAHAN,SAWAHAN,16672,12661,16672,570,41
SUKOMANUNGGAL,SUKOMANUNGGAL,14210,8428,14210,311,25
ASEMROWO,ASEMROWO,5333,3435,5333,57,14
WONOKROMO,WONOKROMO,16456,9396,16456,324,35
PABEANCANTIAN,PABEAN CANTIAN,4994,3753,4994,122,18
RUNGKUT,RUNGKUT,14045,9728,14045,341,28
PAKAL,PAKAL,9797,6862,9797,268,20
SEMAMPIR,SEMAMPIR,21525,16937,21525,451,62
TENGGILISMEJOYO,TENGGILIS MEJOYO,6664,4365,6664,206,17
TEGALSARI,TEGALSARI,9943,7562,9943,376,29
GAYUNGAN,GAYUNGAN,6415,4388,6415,237,14
GUBENG,GUBENG,15634,11276,15634,472,29
BUBUTAN,BUBUTAN,9302,7614,9302,315,30
LAKARSANTRI,LAKARSANTRI,13008,7876,13008,370,26
TAMBAKSARI,TAMBAKSARI,19780,14155,19780,526,46
JAMBANGAN,JAMBANGAN,7943,4632,7943,169,12
SUKOLILO,SUKOLILO,17153,10098,17153,407,31
SAMBIKEREP,SAMBIKEREP,10510,6258,10510,215,20
DUKUHPAKIS,DUKUH PAKIS,8595,5180,8595,267,21
KREMBANGAN,KREMBANGAN,17160,10588,17160,357,37
WONOCOLO,WONOCOLO,10289,6282,10289,278,19
GUNUNGANYAR,GUNUNG ANYAR,6245,4109,6245,172,14
KENJERAN,KENJERAN,24679,15828,24679,340,35
WIYUNG,WIYUNG,7666,4952,7666,194,15
BENOWO,BENOWO,9028,5105,9028,176,17
BULAK,BULAK,7741,5524,7741,116,18
SIMOKERTO,SIMOKERTO,8830,5466,8830,196,22
MULYOREJO,MULYOREJO,14034,8266,14034,289,22
TANDES,TANDES,12901,9560,12901,388,28
KARANGPILANG,KARANGPILANG,8038,5283,8038,230,15
