kecamatan_key,projected_murid,actual_murid,ape
ASEMROWO,7553.0,3227.0,134.05639913232105
BENOWO,11254.0,6798.0,65.54869079140924
BUBUTAN,13637.0,9131.0,49.348373672106014
BULAK,7252.0,5934.0,22.21098752949107
DUKUHPAKIS,8356.0,8250.0,1.284848484848485
GAYUNGAN,6139.0,6068.0,1.1700725115359263
GENTENG,8020.0,9681.0,17.157318458836897
GUBENG,17366.0,14707.0,18.079825933229074
GUNUNGANYAR,9012.0,5539.0,62.700848528615275
JAMBANGAN,8052.0,5690.0,41.51142355008787
KARANGPILANG,10462.0,7170.0,45.91352859135286
KENJERAN,29209.0,16903.0,72.80364432349286
KREMBANGAN,16763.0,13988.0,19.83843294252216
LAKARSANTRI,9365.0,9972.0,6.087043722422783
MULYOREJO,11853.0,14034.0,15.540829414279605
PABEANCANTIAN,10678.0,4329.0,146.66204666204666
PAKAL,9453.0,8427.0,12.175151299394802
RUNGKUT,17723.0,11454.0,54.731971363715736
SAMBIKEREP,9831.0,8688.0,13.156077348066297
SAWAHAN,27860.0,16616.0,67.66971593644679
SEMAMPIR,29137.0,15231.0,91.30063685903748
SIMOKERTO,13388.0,7728.0,73.24016563146998
SUKOLILO,16497.0,16119.0,2.3450586264656614
SUKOMANUNGGAL,14869.0,13772.0,7.965437118791751
TAMBAKSARI,31878.0,17782.0,79.2711730963896
TANDES,13555.0,10770.0,25.85886722376973
TEGALSARI,13632.0,9788.0,39.272578667756434
TENGGILISMEJOYO,8270.0,6599.0,25.322018487649643
WIYUNG,10520.0,7397.0,42.219818845477896
WONOCOLO,11284.0,9520.0,18.529411764705884
WONOKROMO,20714.0,15202.0,36.25838705433495
