peringkat_prioritas,kecamatan_key,kecamatan_norm,tahun_target,demand_total,kapasitas,siswa_tak_tertampung,utilisasi_pct,jumlah_sekolah,ruang_kelas_baru,rekomendasi
1,TAMBAKSARI,TAMBAKSARI,2030,28855,19780,9075,145.9,46,284,USB
2,SAWAHAN,SAWAHAN,2030,24780,16672,8108,148.6,41,254,USB
3,SEMAMPIR,SEMAMPIR,2030,28174,21525,6649,130.9,62,208,USB
4,PABEANCANTIAN,PABEAN CANTIAN,2030,10139,4994,5145,203.0,18,161,USB
5,KENJERAN,KENJERAN,2030,28646,24679,3967,116.1,35,124,USB
6,SIMOKERTO,SIMOKERTO,2030,12539,8830,3709,142.0,22,116,USB
7,BUBUTAN,BUBUTAN,2030,12608,9302,3306,135.5,30,104,USB
8,ASEMROWO,ASEMROWO,2030,7699,5333,2366,144.4,14,74,USB
9,TEGALSARI,TEGALSARI,2030,12285,9943,2342,123.6,29,74,USB
10,RUNGKUT,RUNGKUT,2030,16383,14045,2338,116.6,28,74,USB
11,WONOKROMO,WONOKROMO,2030,18616,16456,2160,113.1,35,68,USB
12,GUNUNGANYAR,GUNUNG ANYAR,2030,8390,6245,2145,134.3,14,68,USB
13,WIYUNG,WIYUNG,2030,9677,7666,2011,126.2,15,63,USB
14,KARANGPILANG,KARANGPILANG,2030,9917,8038,1879,123.4,15,59,USB
15,BENOWO,BENOWO,2030,10431,9028,1403,115.5,17,44,USB
16,TENGGILISMEJOYO,TENGGILIS MEJOYO,2030,7589,6664,925,113.9,17,29,USB
17,WONOCOLO,WONOCOLO,2030,10462,10289,173,101.7,19,6,RKB
18,GUBENG,GUBENG,2030,15750,15634,116,100.7,29,4,RKB
19,GENTENG,GENTENG,2030,7117,9698,0,73.4,18,0,CUKUP
20,SUKOMANUNGGAL,SUKOMANUNGGAL,2030,13755,14210,0,96.8,25,0,CUKUP
21,PAKAL,PAKAL,2030,8871,9797,0,90.5,20,0,CUKUP
22,GAYUNGAN,GAYUNGAN,2030,5539,6415,0,86.3,14,0,CUKUP
23,LAKARSANTRI,LAKARSANTRI,2030,8659,13008,0,66.6,26,0,CUKUP
24,JAMBANGAN,JAMBANGAN,2030,7376,7943,0,92.9,12,0,CUKUP
25,SUKOLILO,SUKOLILO,2030,15349,17153,0,89.5,31,0,CUKUP
26,SAMBIKEREP,SAMBIKEREP,2030,9100,10510,0,86.6,20,0,CUKUP
27,DUKUHPAKIS,DUKUH PAKIS,2030,7471,8595,0,86.9,21,0,CUKUP
28,KREMBANGAN,KREMBANGAN,2030,15866,17160,0,92.5,37,0,CUKUP
29,BULAK,BULAK,2030,6812,7741,0,88.0,18,0,CUKUP
30,MULYOREJO,MULYOREJO,2030,10867,14034,0,77.4,22,0,CUKUP
31,TANDES,TANDES,2030,12067,12901,0,93.5,28,0,CUKUP
