kecamatan_norm,latitude,longitude,address
PABEAN CANTIAN,-7.2167682,112.7293379,"Kantor Kecamatan Pabean Cantian, Jalan Teluk Sampit, RW 05, Perak Utara, Pabean Cantian, Surabaya, Jawa Timur, 60165, Indonesia"
SAWAHAN,-7.2840657,112.7161649,"Kantor Kecamatan Sawahan, Jalan Dukuh Kupang Timur IX, RW 09, Pakis, Sawahan, Surabaya, Jawa Timur, Jawa, 60256, Indonesia"
TAMBAKSARI,-7.2574877,112.7552195,"Kantor Kecamatan Tambak Sari, Jalan Mendut, RW 04, Pacar Keling, Tambaksari, Surabaya, Jawa Timur, 60131, Indonesia"
ASEMROWO,-7.2520324,112.715258,"Kantor Kecamatan Asemrowo, Jalan Asem Raya, RW 01, Asemrowo, Surabaya, Jawa Timur, 60173, Indonesia"
SIMOKERTO,-7.2437317,112.7579194,"Kantor Kecamatan Simokerto, Jalan Tambak Rejo VIII, RW 06, Tambakrejo, Simokerto, Surabaya, Jawa Timur, Jawa, 60142, Indonesia"
BUBUTAN,-7.2516773,112.7342064,"Kantor Kecamatan Bubutan, Jalan Koblen Tengah, RW 05, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia"
GUNUNG ANYAR,-7.3395367,112.7954797,"Gunung Anyar, Surabaya, Jawa Timur, 60294, Indonesia"
SEMAMPIR,-7.2259518,112.7458334,"Polsek Kecamatan Semampir, Jalan Sultan Iskandar Muda, RW 10, Ujung, Semampir, Surabaya, Jawa Timur, 60151, Indonesia"
WIYUNG,-7.3143065,112.6951476,"Kantor Kecamatan Wiyung, Jalan Akses ke Balai Teknik Air Minum, Balai Teknik Air Minum dan Sanitasi Wilayah II, RW 09, Wiyung, Surabaya, Jawa Timur, Jawa, 60228, Indonesia"
TEGALSARI,-7.2879423,112.7405329,"Kantor Kecamatan Tegalsari, Jalan Tanggulangin, RW 05, Keputran, Tegalsari, Surabaya, Jawa Timur, Jawa, 60421, Indonesia"
KARANGPILANG,-7.3333987,112.6993843,"Kantor Kecamatan Karangpilang, Jalan Kebraon Praja, RW 12, Kebraon, Karang Pilang, Surabaya, Jawa Timur, 60221, Indonesia"
RUNGKUT,-7.3231613,112.7710445,"Kantor Urusan Agama Kecamatan Rungkut, Jalan Rungkut Asri Utara V, RW 11, Kali Rungkut, Rungkut, Surabaya, Jawa Timur, 60293, Indonesia"
KENJERAN,-7.226676,112.7755906,"Kantor Kecamatan Kenjeran, Jalan Kedung Cowek, RW 11, Tanah Kali Kedinding, Kenjeran, Surabaya, Jawa Timur, Jawa, 60129, Indonesia"
BENOWO,-7.2487775,112.6354128,"Kantor Kecamatan Benowo, Jalan Raya Kendung, Citraland Utara, RW 02, Sememi, Benowo, Surabaya, Jawa Timur, Jawa, 60197, Indonesia"
TENGGILIS MEJOYO,-7.3139446,112.7572987,"Kantor Kecamatan Tenggilis Mejoyo, Jalan Prapen Indah II, Prapen Indah, RW 07, Panjang Jiwo, Tenggilis Mejoyo, Surabaya, Jawa Timur, 60299, Indonesia"
WONOKROMO,-7.2915772,112.7320364,"Kantor Kecamatan Wonokromo, Jalan Cisadane, RW 06, Darmo, Wonokromo, Surabaya, Jawa Timur, Jawa, 60241, Indonesia"
WONOCOLO,-7.320066,112.7412535,"Kantor Kecamatan Wonocolo, Jalan Jemursari II, RW 10, Jemur Wonosari, Wonocolo, Surabaya, Jawa Timur, 60237, Indonesia"
GUBENG,-7.2979732,112.7613197,"Kantor Urusan Agama Kecamatan Gubeng, Jalan Nginden Kota Gang Bengkok, RW 07, Baratajaya, Gubeng, Surabaya, Jawa Timur, 60284, Indonesia"
SUKOMANUNGGAL,-7.2608653,112.7122949,"Kantor Kecamatan Sukomanunggal, Simo Rukun IX, RW 04, Simomulyo, Sukomanunggal, Surabaya, Jawa Timur, 60263, Indonesia"
TANDES,-7.2590454,112.6780436,"Kantor Kecamatan Tandes, Jalan Balongsari Tama Utara I, RW 01, Balongsari, Tandes, Surabaya, Jawa Timur, Jawa, 60184, Indonesia"
JAMBANGAN,-7.3219038,112.7138846,"Kantor Kecamatan Jambangan, Jalan Jambangan Asri, RW 03, Jambangan, Surabaya, Jawa Timur, Jawa, 60222, Indonesia"
KREMBANGAN,-7.2329093,112.7226026,"Kantor Kecamatan Krembangan, Jalan Sedayu, RW 03, Morokrembangan, Krembangan, Surabaya, Jawa Timur, Jawa, 60178, Indonesia"
PAKAL,-7.2399928,112.6254456,"Pendopo Kantor Kecamatan Pakal, Jalan Bandarsari, RW 02, Babat Jerawat, Pakal, Surabaya, Jawa Timur, 60195, Indonesia"
SUKOLILO,-7.2995774,112.7703366,"Kantor Kecamatan Sukolilo, Jalan Manyar Jaya Praja V, Perumahan Manyar Jaya, RW 08, Menur Pumpungan, Sukolilo, Surabaya, Jawa Timur, Jawa, 60118, Indonesia"
BULAK,-7.2316415,112.7854934,"Kantor Kecamatan Bulak, Jalan Kyai Tambak Deres, RW 03, Kenjeran, Bulak, Surabaya, Jawa Timur, 60124, Indonesia"
DUKUH PAKIS,-7.2821422,112.7081038,"Kantor Kecamatan Dukuh Pakis, Jalan Raya Dukuh Kupang Barat, RW 06, Dukuh Kupang, Dukuh Pakis, Surabaya, Jawa Timur, Jawa, 60225, Indonesia"
SAMBIKEREP,-7.2658873,112.6552969,"Kantor Kecamatan Sambikerep, Jalan Raya Jelidro, RW 11, Sambikerep, Surabaya, Jawa Timur, 60185, Indonesia"
GAYUNGAN,-7.3380194,112.7167604,"Kantor Kecamatan Gayungan, Jalan Gayungsari Barat XII, RW 07, Gayungan, Surabaya, Jawa Timur, 60233, Indonesia"
MULYOREJO,-7.2612415,112.7848204,"Kantor Kecamatan Mulyorejo, Jalan Mulyorejo Indah V, RW 01, Mulyorejo, Surabaya, Jawa Timur, Jawa, 60114, Indonesia"
GENTENG,-7.2668321,112.742467,"UPTD BPS KECAMATAN GENTENG, Jalan Embong Sawo, RW 03, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, 68485, Indonesia"
LAKARSANTRI,-7.3042928,112.6329888,"Kecamatan Lakarsantri, 1, Jalan Raya Lakarsantri, RW 01, Lakarsantri, Surabaya, Jawa Timur, Jawa, 60211, Indonesia"
